| Entity                                                                                     |   Number of occurrences |
|--------------------------------------------------------------------------------------------+-------------------------|
| SON                                                                                        |                    1884 |
| 0 (RNA, Messenger)                                                                         |                    1561 |
| EC 3.6.4.13 (DEAD-box RNA Helicases)                                                       |                    1296 |
| 0 (Nucleocytoplasmic Transport Proteins)                                                   |                    1285 |
| 0 (DNA-Binding Proteins)                                                                   |                    1248 |
| 0 (Saccharomyces cerevisiae Proteins)                                                      |                    1093 |
| 0 (Minor Histocompatibility Antigens)                                                      |                    1007 |
| Molecular Sequence Data                                                                    |                     743 |
| 0 (RNA-Binding Proteins)                                                                   |                     732 |
| 0 (Nuclear Pore Complex Proteins)                                                          |                     717 |
| 0 (Nuclear Proteins)                                                                       |                     717 |
| Protein Binding                                                                            |                     534 |
| EC 3.6.4.13 (RNA Helicases)                                                                |                     533 |
| Amino Acid Sequence                                                                        |                     526 |
| RNA, Messenger/*metabolism                                                                 |                     497 |
| Male                                                                                       |                     480 |
| Mutation                                                                                   |                     478 |
| Mice                                                                                       |                     475 |
| Female                                                                                     |                     462 |
| Minor Histocompatibility Antigens                                                          |                     460 |
| RNA, Messenger/metabolism                                                                  |                     429 |
| 0 (GLE1 protein, S cerevisiae)                                                             |                     415 |
| 0 (Carrier Proteins)                                                                       |                     412 |
| HeLa Cells                                                                                 |                     411 |
| EC 3.6.1.- (DDX19B protein, human)                                                         |                     410 |
| 0 (Ribonucleoproteins)                                                                     |                     407 |
| Cell Nucleus/metabolism                                                                    |                     402 |
| Active Transport, Cell Nucleus                                                             |                     402 |
| Base Sequence                                                                              |                     400 |
| 0 (messenger ribonucleoprotein)                                                            |                     368 |
| DEAD-box RNA Helicases                                                                     |                     356 |
| 7IGF0S7R8I (Phytic Acid)                                                                   |                     344 |
| Cell Nucleus/*metabolism                                                                   |                     312 |
| Cloning, Molecular                                                                         |                     304 |
| 0 (Transcription Factors)                                                                  |                     288 |
| Saccharomyces cerevisiae Proteins/genetics/*metabolism                                     |                     287 |
| EC 3.6.1.- (Adenosine Triphosphatases)                                                     |                     285 |
| Cell Line                                                                                  |                     279 |
| Sequence Homology, Amino Acid                                                              |                     267 |
| Models, Biological                                                                         |                     253 |
